delay,prediction,error,priority
5.0354003e-05,7.17456e-05,2.1391595688721656e-05,0
0.0008054258,7.128454e-05,-0.0007341412569174163,0
2.5177002e-05,7.151922e-05,4.634221981947157e-05,0
2.5177002e-05,7.10212e-05,4.584419507269594e-05,0
0.0014544016000000001,7.1307804e-05,-0.0013830937956809239,0
0.00054397585,7.038873e-05,-0.00047358712281887457,0
0.00025634763999999997,7.0981994e-05,-0.00018536564578692925,0
0.0019443773999999999,7.107861e-05,-0.0018732987883457704,0
0.0007354258,7.173112e-05,-0.0006636946804669306,0
0.0009884258,7.116595e-05,-0.00091725984775057,0
0.0014538757000000001,7.229016e-05,-0.0013815855395396025,0
0.00054397585,7.072663e-05,-0.0004732492200713143,0
0.0009718999,7.110002e-05,-0.0009007998824784696,0
0.0012404016000000001,7.13445e-05,-0.0011690571030266756,0
0.00054397585,7.14902e-05,-0.0004724856519754514,0
0.0018793256999999999,7.097691e-05,-0.0018083487916813014,0
0.00054397585,7.160673e-05,-0.00047236912023830265,0
0.00054244994,7.281689e-05,-0.0004696330511400388,0
2.5177002e-05,7.119102e-05,4.6014015923410983e-05,0
0.0015128758,7.16111e-05,-0.0014412646973877765,0
0.0006378999,7.061903e-05,-0.0005672808669325128,0
0.00054397585,7.055491e-05,-0.0004734209399469666,0
0.0010068999,7.149923e-05,-0.0009354006725120522,0
0.0019153256,7.045197e-05,-0.0018448736301952921,0
0.0010669517,7.1566596e-05,-0.0009953851044205025,0
0.00054397585,7.12909e-05,-0.0004726849477304615,0
0.00054397585,7.041121e-05,-0.00047356464010984674,0
0.0015518757,7.0432005e-05,-0.0014814436954229855,0
0.00054397585,7.14573e-05,-0.00047251854657982513,0
0.00054244994,7.123443e-05,-0.0004712155064375052,0
0.0023563532000000003,7.1294024e-05,-0.0022850591763446454,0
0.00054244994,7.1350136e-05,-0.00047109980415952445,0
0.00054244994,7.0427624e-05,-0.00047202231554946915,0
0.00054397585,7.104985e-05,-0.0004729260002062194,0
0.00054397585,7.2032184e-05,-0.0004719436658927709,0
0.0010844258,7.032108e-05,-0.0010141047173968137,0
0.00054397585,7.047623e-05,-0.0004734996221526064,0
0.00054244994,7.078551e-05,-0.0004716644330223003,0
0.0025033015,7.255287e-05,-0.002430748626538027,0
0.0008628999000000001,7.017794e-05,-0.0007927219573109575,0
0.00054397585,7.1386145e-05,-0.00047258970544529185,0
0.00054397585,7.092291e-05,-0.00047305293656275645,0
0.00054397585,7.189625e-05,-0.0004720796026088767,0
0.00054397585,7.090833e-05,-0.0004730675175818153,0
0.00054244994,7.176101e-05,-0.0004706889308330515,0
0.00054397585,7.155652e-05,-0.00047241933162179813,0
0.00054244994,7.208709e-05,-0.00047036285151661427,0
0.00018463134999999997,7.130658e-05,-0.00011332476804180291,0
0.00054244994,7.284162e-05,-0.0004696083201601082,0
0.00054244994,7.103819e-05,-0.00047141175356627495,0
0.00054397585,7.143758e-05,-0.0004725382717009172,0
0.0009569516400000001,7.190927e-05,-0.0008850423686447474,0
0.00054397585,7.215895e-05,-0.00047181689688325897,0
0.00054397585,6.978315e-05,-0.00047419270077110305,0
0.0010834258000000001,7.1718794e-05,-0.001011707005939129,0
0.0012874016999999999,7.1714785e-05,-0.0012156869149917743,0
0.0007904258,7.211465e-05,-0.0007183111501891718,0
0.00054397585,7.156163e-05,-0.00047241421662359536,0
0.0010494258,7.276954e-05,-0.0009766562630721919,0
0.0008734258,7.118738e-05,-0.0008022384200553961,0
0.0014724604999999998,7.1842536e-05,-0.0014006179637279844,0
0.00054397585,7.1214185e-05,-0.00047276166542754546,0
0.00054244994,7.182971e-05,-0.0004706202312412584,0
0.0010539517,7.182702e-05,-0.0009821246833455757,0
0.0010834258000000001,7.2300805e-05,-0.001011124994813613,0
0.00054244994,7.156681e-05,-0.0004708831334177317,0
0.00054244994,7.302026e-05,-0.0004694296808487648,0
0.00054244994,7.171355e-05,-0.00047073639190456883,0
0.0013028757,7.0489456e-05,-0.0012323862444616638,0
0.00054397585,7.20687e-05,-0.0004719071478615053,0
0.00054244994,7.153344e-05,-0.0004709165009593503,0
0.0010114257,7.274771e-05,-0.0009386779909450345,0
0.00054397585,7.1715964e-05,-0.0004722598862866409,0
0.00054244994,7.043673e-05,-0.0004720132133264938,0
0.00011215209999999997,7.095151e-05,-4.120059204933268e-05,0
0.0010529517,7.0859336e-05,-0.000982092363880389,0
